transaction_description,category,country,currency,user_id,amount,date
Anytime Fitness,Entertainment & Recreation,USA,USD,freelancer,125.57,2022-01-28
M&T Bank #4046 - USA,Financial Services,USA,USD,freelancer,497.76,2022-02-01
Consolidated Communications,Utilities & Services,USA,USD,freelancer,153.63,2022-02-01
Home Depot #2619 Online (Bank Transfer),Shopping & Retail,USA,USD,freelancer,183.38,2022-02-01
Urologist,Healthcare & Medical,USA,USD,freelancer,314.37,2022-02-02
Income,Income,USA,USD,freelancer,6507.19,2022-02-03
Walgreens #7592 Store Downtown,Healthcare & Medical,USA,USD,freelancer,96.56,2022-02-03
Greyhound - Rush Hour,Transportation,USA,USD,freelancer,12.26,2022-02-03
Spotify,Entertainment & Recreation,USA,USD,freelancer,9.17,2022-02-03
Belk Store,Shopping & Retail,USA,USD,freelancer,135.77,2022-02-04
Mortgage #1493 Shopping Center,Financial Services,USA,USD,freelancer,776.38,2022-02-04
Dillard's - Weekday,Shopping & Retail,USA,USD,freelancer,225.85,2022-02-04
Dropbox,Utilities & Services,USA,USD,freelancer,12.89,2022-02-04
Jimmy John's,Food & Dining,USA,USD,freelancer,29.72,2022-02-05
Lyft Online,Transportation,USA,USD,freelancer,78.94,2022-02-05
WMATA - Weekday,Transportation,USA,USD,freelancer,57.8,2022-02-05
Belk,Shopping & Retail,USA,USD,freelancer,241.88,2022-02-06
Federal Building (Bank Transfer),Government & Legal,USA,USD,freelancer,115.13,2022-02-07
Passport Store (Wire),Government & Legal,USA,USD,freelancer,418.37,2022-02-07
Business WiFi Branch TXN871183,Utilities & Services,USA,USD,freelancer,121.72,2022-02-08
Rite Aid - USA Station,Healthcare & Medical,USA,USD,freelancer,427.11,2022-02-08
Spectrum #5218 Shopping Center,Utilities & Services,USA,USD,freelancer,73.51,2022-02-08
Neiman Marcus #1804 - USA,Shopping & Retail,USA,USD,freelancer,231.04,2022-02-08
Trader Joe's (Card),Food & Dining,USA,USD,freelancer,37.71,2022-02-09
DSL TXN697303,Utilities & Services,USA,USD,freelancer,58.16,2022-02-10
Suddenlink,Utilities & Services,USA,USD,freelancer,125.84,2022-02-11
United Way - USA,Charity & Donations,USA,USD,freelancer,80.95,2022-02-11
DirecTV - Holiday,Utilities & Services,USA,USD,freelancer,273.6,2022-02-11
Senate (Mobile),Government & Legal,USA,USD,freelancer,446.65,2022-02-11
Dollar General #6305,Shopping & Retail,USA,USD,freelancer,287.3,2022-02-12
CIA,Government & Legal,USA,USD,freelancer,239.26,2022-02-12
Moe's Southwest Grill Store TXN933539,Food & Dining,USA,USD,freelancer,45.48,2022-02-13
AMC #1566 - USA Store Online Airport,Entertainment & Recreation,USA,USD,freelancer,48.17,2022-02-13
Phone Company Store,Utilities & Services,USA,USD,freelancer,166.09,2022-02-13
MRI Online,Healthcare & Medical,USA,USD,freelancer,309.76,2022-02-14
Border Patrol Store Center,Government & Legal,USA,USD,freelancer,186.33,2022-02-14
WiFi - USA,Utilities & Services,USA,USD,freelancer,260.54,2022-02-15
Train Store,Transportation,USA,USD,freelancer,85.19,2022-02-15
Ulta Center (Bank Transfer),Shopping & Retail,USA,USD,freelancer,112.16,2022-02-15
Cable One,Utilities & Services,USA,USD,freelancer,185.68,2022-02-15
Blimpie Store Center Hospital,Food & Dining,USA,USD,freelancer,24.06,2022-02-15
Dollar #8788 (Bank Transfer),Transportation,USA,USD,freelancer,28.91,2022-02-15
Alaska Airlines #6620 (Digital Wallet),Transportation,USA,USD,freelancer,48.66,2022-02-16
LA Fitness,Entertainment & Recreation,USA,USD,freelancer,143.94,2022-02-16
WMATA,Transportation,USA,USD,freelancer,45.07,2022-02-17
Starlink Branch,Utilities & Services,USA,USD,freelancer,55.95,2022-02-17
Legal,Government & Legal,USA,USD,freelancer,491.8,2022-02-17
Tennis Court,Entertainment & Recreation,USA,USD,freelancer,142.12,2022-02-17
Adidas - USA TXN614919,Shopping & Retail,USA,USD,freelancer,89.39,2022-02-18
Rite Aid - Dinner Time,Shopping & Retail,USA,USD,freelancer,140.2,2022-02-18
Chipotle Store,Food & Dining,USA,USD,freelancer,33.14,2022-02-19
Museum Store,Entertainment & Recreation,USA,USD,freelancer,133.67,2022-02-19
Santander #6082,Financial Services,USA,USD,freelancer,778.9,2022-02-20
Big Lots - USA Station,Shopping & Retail,USA,USD,freelancer,8.28,2022-02-20
Nike,Shopping & Retail,USA,USD,freelancer,274.55,2022-02-21
YouTube,Entertainment & Recreation,USA,USD,freelancer,114.22,2022-02-21
Satellite Internet #2931 - Dinner Time,Utilities & Services,USA,USD,freelancer,189.45,2022-02-22
Post Office,Shopping & Retail,USA,USD,freelancer,115.2,2022-02-22
Taco Bell Strip Mall,Food & Dining,USA,USD,freelancer,19.41,2022-02-22
FedEx Office - USA,Shopping & Retail,USA,USD,freelancer,57.84,2022-02-22
Lab Center,Healthcare & Medical,USA,USD,freelancer,487.12,2022-02-23
Megabus Campus,Transportation,USA,USD,freelancer,4.08,2022-02-23
AMC - USA Store,Entertainment & Recreation,USA,USD,freelancer,77.32,2022-02-24
Adobe Creative Cloud,Shopping & Retail,USA,USD,freelancer,39.57,2022-02-24
Temple #7830,Charity & Donations,USA,USD,freelancer,73.49,2022-02-25
Neurologist #6048 Station,Healthcare & Medical,USA,USD,freelancer,94.8,2022-02-26
Mass General #3968 Store - Evening,Healthcare & Medical,USA,USD,freelancer,61.79,2022-02-27
Ross,Shopping & Retail,USA,USD,freelancer,212.01,2022-02-27
Office Depot,Shopping & Retail,USA,USD,freelancer,123.0,2022-02-28
Paramedic Mall,Government & Legal,USA,USD,freelancer,61.88,2022-02-28
Zoo TXN349689,Entertainment & Recreation,USA,USD,freelancer,60.67,2022-03-01
Shake Shack - USA (Cash),Food & Dining,USA,USD,freelancer,6.39,2022-03-01
Noodles & Company #5075,Food & Dining,USA,USD,freelancer,12.39,2022-03-01
Income,Income,USA,USD,freelancer,3189.33,2022-03-02
Veterans Organization #1380 Strip Mall,Charity & Donations,USA,USD,freelancer,44.93,2022-03-02
ATM #3711 Store,Financial Services,USA,USD,freelancer,837.44,2022-03-03
Broadband - USA,Utilities & Services,USA,USD,freelancer,138.31,2022-03-03
Barnes & Noble,Shopping & Retail,USA,USD,freelancer,269.96,2022-03-03
Income,Income,USA,USD,freelancer,4609.49,2022-03-04
Amnesty International,Charity & Donations,USA,USD,freelancer,37.64,2022-03-04
Neurologist #9667 - USA Store Online,Healthcare & Medical,USA,USD,freelancer,362.32,2022-03-04
HSBC,Financial Services,USA,USD,freelancer,790.98,2022-03-04
Equinox - Lunch Time,Entertainment & Recreation,USA,USD,freelancer,58.35,2022-03-05
Delta - USA Branch (Card),Transportation,USA,USD,freelancer,43.08,2022-03-06
Panera Bread #7486 - USA Store,Food & Dining,USA,USD,freelancer,29.98,2022-03-06
License #9648,Government & Legal,USA,USD,freelancer,309.22,2022-03-07
Barnes & Noble (Contactless),Shopping & Retail,USA,USD,freelancer,115.37,2022-03-07
Senior Center Store TXN728274,Charity & Donations,USA,USD,freelancer,118.96,2022-03-08
Checkers Branch,Food & Dining,USA,USD,freelancer,39.94,2022-03-09
Post Office,Government & Legal,USA,USD,freelancer,118.28,2022-03-09
Dairy Queen #6331,Food & Dining,USA,USD,freelancer,24.24,2022-03-09
EMS #2379 Online,Government & Legal,USA,USD,freelancer,354.73,2022-03-09
Post Office Station,Shopping & Retail,USA,USD,freelancer,239.49,2022-03-09
Qdoba #1789,Food & Dining,USA,USD,freelancer,38.57,2022-03-10
Dollar General - Weekend,Shopping & Retail,USA,USD,freelancer,193.17,2022-03-10
Mortgage - Afternoon,Financial Services,USA,USD,freelancer,666.2,2022-03-11
Johns Hopkins,Healthcare & Medical,USA,USD,freelancer,62.97,2022-03-11
Costco Shopping Center,Shopping & Retail,USA,USD,freelancer,57.03,2022-03-12
Neiman Marcus Store,Shopping & Retail,USA,USD,freelancer,241.18,2022-03-12
Service - USA,Government & Legal,USA,USD,freelancer,178.45,2022-03-12
First National Branch,Financial Services,USA,USD,freelancer,875.45,2022-03-12
Dropbox,Utilities & Services,USA,USD,freelancer,11.71,2022-03-12
Internet Provider #3215,Utilities & Services,USA,USD,freelancer,135.87,2022-03-14
Speech Therapy Online,Healthcare & Medical,USA,USD,freelancer,288.55,2022-03-15
Mr. Sub - USA,Food & Dining,USA,USD,freelancer,19.01,2022-03-15
State Police,Government & Legal,USA,USD,freelancer,440.32,2022-03-15
Comerica Online (Mobile),Financial Services,USA,USD,freelancer,925.66,2022-03-15
Dollar - USA Branch,Transportation,USA,USD,freelancer,75.04,2022-03-16
Baskin-Robbins,Food & Dining,USA,USD,freelancer,28.32,2022-03-16
Fundraising Online (Mobile),Charity & Donations,USA,USD,freelancer,67.0,2022-03-16
Huntington Bank #8684 Strip Mall,Financial Services,USA,USD,freelancer,601.17,2022-03-17
Homeless Shelter - USA Branch,Charity & Donations,USA,USD,freelancer,171.15,2022-03-17
Southwest Airlines #3031 - USA Online,Transportation,USA,USD,freelancer,56.83,2022-03-18
Blimpie,Food & Dining,USA,USD,freelancer,29.81,2022-03-18
Audubon Society,Charity & Donations,USA,USD,freelancer,26.7,2022-03-18
Community Center Store,Charity & Donations,USA,USD,freelancer,184.38,2022-03-18
Zoo #9514 Store,Entertainment & Recreation,USA,USD,freelancer,128.89,2022-03-18
Spectrum #6527 - USA TXN315070,Utilities & Services,USA,USD,freelancer,163.68,2022-03-19
Panera Bread Hospital,Food & Dining,USA,USD,freelancer,40.44,2022-03-20
Barneys New York #3347,Shopping & Retail,USA,USD,freelancer,103.13,2022-03-20
Internet Provider,Utilities & Services,USA,USD,freelancer,232.75,2022-03-20
Internet Provider Store,Utilities & Services,USA,USD,freelancer,96.1,2022-03-20
Youth Organization - USA Store TXN264508,Charity & Donations,USA,USD,freelancer,104.14,2022-03-20
Adobe Creative Cloud,Shopping & Retail,USA,USD,freelancer,46.69,2022-03-20
WiFi #6801 Downtown,Utilities & Services,USA,USD,freelancer,80.81,2022-03-21
Comerica Store Hospital,Financial Services,USA,USD,freelancer,873.86,2022-03-21
World Vision TXN492465,Charity & Donations,USA,USD,freelancer,35.6,2022-03-21
Crunch Fitness #1100 Branch,Entertainment & Recreation,USA,USD,freelancer,38.31,2022-03-22
BART,Transportation,USA,USD,freelancer,37.42,2022-03-22
Neurologist - USA Store Center Shopping Center,Healthcare & Medical,USA,USD,freelancer,84.75,2022-03-22
Rock Climbing #1507,Entertainment & Recreation,USA,USD,freelancer,65.57,2022-03-23
Transfer Campus,Financial Services,USA,USD,freelancer,903.25,2022-03-23
Audubon Society #2626 - USA,Charity & Donations,USA,USD,freelancer,47.05,2022-03-23
Ross,Shopping & Retail,USA,USD,freelancer,191.4,2022-03-23
Trader Joe's,Food & Dining,USA,USD,freelancer,15.32,2022-03-24
Sheriff Store TXN769934,Government & Legal,USA,USD,freelancer,144.48,2022-03-24
Youth Organization TXN432123,Charity & Donations,USA,USD,freelancer,186.07,2022-03-24
ATF #7261 - USA TXN407557,Government & Legal,USA,USD,freelancer,472.89,2022-03-25
Nike #4329,Shopping & Retail,USA,USD,freelancer,42.62,2022-03-25
Netflix #6387 Downtown,Entertainment & Recreation,USA,USD,freelancer,83.46,2022-03-25
Spotify,Entertainment & Recreation,USA,USD,freelancer,7.71,2022-03-25
BMO Harris #7628 Store,Financial Services,USA,USD,freelancer,474.95,2022-03-26
TD Bank #2276 - Rush Hour,Financial Services,USA,USD,freelancer,751.85,2022-03-27
OfficeMax,Shopping & Retail,USA,USD,freelancer,61.76,2022-03-27
Income,Income,USA,USD,freelancer,5376.94,2022-04-01
CVS,Healthcare & Medical,USA,USD,freelancer,369.11,2022-04-01
Goodwill (Digital Wallet),Charity & Donations,USA,USD,freelancer,114.56,2022-04-02
Dunkin' Donuts Store,Food & Dining,USA,USD,freelancer,20.77,2022-04-02
Congress Center,Government & Legal,USA,USD,freelancer,469.03,2022-04-02
Cane's #3090,Food & Dining,USA,USD,freelancer,36.66,2022-04-02
Amnesty International,Charity & Donations,USA,USD,freelancer,7.78,2022-04-02
Orange Theory - Holiday,Entertainment & Recreation,USA,USD,freelancer,6.03,2022-04-03
TJ Maxx Residential,Shopping & Retail,USA,USD,freelancer,299.76,2022-04-04
WWF,Charity & Donations,USA,USD,freelancer,65.41,2022-04-06
License Center,Government & Legal,USA,USD,freelancer,162.84,2022-04-06
T-Mobile,Utilities & Services,USA,USD,freelancer,143.69,2022-04-07
Lowe's #6573 (Bank Transfer),Shopping & Retail,USA,USD,freelancer,42.94,2022-04-10
First National - USA,Financial Services,USA,USD,freelancer,323.1,2022-04-10
Local Food Bank - USA,Charity & Donations,USA,USD,freelancer,184.41,2022-04-10
Mr. Sub - Holiday,Food & Dining,USA,USD,freelancer,36.76,2022-04-11
Adobe Creative Cloud,Shopping & Retail,USA,USD,freelancer,49.94,2022-04-12
Spotify,Entertainment & Recreation,USA,USD,freelancer,5.72,2022-04-12
Escape Room - USA Store Online Center,Entertainment & Recreation,USA,USD,freelancer,35.69,2022-04-13
SPCA,Charity & Donations,USA,USD,freelancer,58.17,2022-04-13
Ross Business District,Shopping & Retail,USA,USD,freelancer,33.74,2022-04-13
Tax,Government & Legal,USA,USD,freelancer,163.02,2022-04-13
Capital One,Financial Services,USA,USD,freelancer,225.48,2022-04-14
Jack in the Box - USA Store,Food & Dining,USA,USD,freelancer,15.48,2022-04-14
Dropbox,Utilities & Services,USA,USD,freelancer,14.62,2022-04-15
Bloomingdale's #8483 - USA TXN310938,Shopping & Retail,USA,USD,freelancer,230.23,2022-04-16
MARTA #6766 Strip Mall,Transportation,USA,USD,freelancer,41.76,2022-04-16
Alaska Airlines #6620,Transportation,USA,USD,freelancer,4.92,2022-04-16
Apple Store,Shopping & Retail,USA,USD,freelancer,76.0,2022-04-16
Emergency Services #7170,Government & Legal,USA,USD,freelancer,225.93,2022-04-16
Nike Store Online TXN795959,Shopping & Retail,USA,USD,freelancer,229.75,2022-04-17
Ulta,Shopping & Retail,USA,USD,freelancer,132.19,2022-04-20
Consolidated Communications - USA,Utilities & Services,USA,USD,freelancer,145.99,2022-04-20
Community Center Store,Charity & Donations,USA,USD,freelancer,74.21,2022-04-20
Atlantic Broadband - USA Online,Utilities & Services,USA,USD,freelancer,132.75,2022-04-20
Raising Cane's Center,Food & Dining,USA,USD,freelancer,49.46,2022-04-21
Raising Cane's Residential,Food & Dining,USA,USD,freelancer,37.67,2022-04-22
T-Mobile #4621 Store,Utilities & Services,USA,USD,freelancer,177.67,2022-04-23
DirecTV - USA Store,Utilities & Services,USA,USD,freelancer,69.27,2022-04-23
Social Security - USA,Government & Legal,USA,USD,freelancer,190.15,2022-04-24
Temple #1364,Charity & Donations,USA,USD,freelancer,149.45,2022-04-25
Tim Hortons Online,Food & Dining,USA,USD,freelancer,8.8,2022-04-25
Tim Hortons #6112 Store,Food & Dining,USA,USD,freelancer,10.91,2022-04-26
Senior Center Online Station,Charity & Donations,USA,USD,freelancer,74.28,2022-04-27
Income,Income,USA,USD,freelancer,4276.08,2022-05-01
Bloomingdale's,Shopping & Retail,USA,USD,freelancer,262.2,2022-05-01
Ski Resort #6009,Entertainment & Recreation,USA,USD,freelancer,88.58,2022-05-01
Uber,Transportation,USA,USD,freelancer,46.16,2022-05-01
Credit Union,Financial Services,USA,USD,freelancer,830.96,2022-05-02
Public WiFi #6416,Utilities & Services,USA,USD,freelancer,272.13,2022-05-02
Equinox (Cash),Entertainment & Recreation,USA,USD,freelancer,35.93,2022-05-02
Xfinity Store,Utilities & Services,USA,USD,freelancer,109.56,2022-05-02
Budget - Rush Hour,Transportation,USA,USD,freelancer,13.34,2022-05-02
Barnes & Noble #3897 Store,Shopping & Retail,USA,USD,freelancer,243.27,2022-05-02
Kaiser Permanente,Healthcare & Medical,USA,USD,freelancer,261.91,2022-05-02
Kickstarter #6863 (Contactless),Charity & Donations,USA,USD,freelancer,197.11,2022-05-03
Burger King Online (Online),Food & Dining,USA,USD,freelancer,25.95,2022-05-04
Bookkeeping,Financial Services,USA,USD,freelancer,422.93,2022-05-05
First National #3200 Station,Financial Services,USA,USD,freelancer,103.67,2022-05-05
Zara - USA,Shopping & Retail,USA,USD,freelancer,82.68,2022-05-05
SEPTA Store,Transportation,USA,USD,freelancer,22.33,2022-05-05
Border Patrol - Lunch Time,Government & Legal,USA,USD,freelancer,266.49,2022-05-06
Optimum #8897 Center - Evening,Utilities & Services,USA,USD,freelancer,105.96,2022-05-06
WWF Store,Charity & Donations,USA,USD,freelancer,10.25,2022-05-06
Trampoline Park - USA,Entertainment & Recreation,USA,USD,freelancer,15.29,2022-05-06
Cinema #8210,Entertainment & Recreation,USA,USD,freelancer,73.95,2022-05-08
Cardiologist - USA Store - Dinner Time,Healthcare & Medical,USA,USD,freelancer,150.46,2022-05-08
FedEx Office - Afternoon,Shopping & Retail,USA,USD,freelancer,121.16,2022-05-08
Neurologist,Healthcare & Medical,USA,USD,freelancer,195.66,2022-05-09
Local Church,Charity & Donations,USA,USD,freelancer,172.86,2022-05-09
Carnival #6844,Entertainment & Recreation,USA,USD,freelancer,32.61,2022-05-09
Bank Online,Financial Services,USA,USD,freelancer,698.1,2022-05-10
Turo,Transportation,USA,USD,freelancer,91.57,2022-05-10
TJ Maxx Store Branch Strip Mall,Shopping & Retail,USA,USD,freelancer,251.22,2022-05-10
OfficeMax,Shopping & Retail,USA,USD,freelancer,166.96,2022-05-11
Blimpie,Food & Dining,USA,USD,freelancer,37.02,2022-05-11
Physical Therapy #9981,Healthcare & Medical,USA,USD,freelancer,384.11,2022-05-11
UCLA Medical Online,Healthcare & Medical,USA,USD,freelancer,414.25,2022-05-12
Offering Store,Charity & Donations,USA,USD,freelancer,174.25,2022-05-12
Spotify,Entertainment & Recreation,USA,USD,freelancer,5.76,2022-05-12
Jersey Mike's,Food & Dining,USA,USD,freelancer,42.37,2022-05-13
Physical Therapy Store Branch,Healthcare & Medical,USA,USD,freelancer,290.62,2022-05-13
McDonald's #9675 Store,Food & Dining,USA,USD,freelancer,46.83,2022-05-13
Bojangles Branch - Holiday,Food & Dining,USA,USD,freelancer,45.26,2022-05-13
Gynecologist - USA (App),Healthcare & Medical,USA,USD,freelancer,484.21,2022-05-14
Cable Company Store,Utilities & Services,USA,USD,freelancer,174.89,2022-05-14
Gold's Gym Online,Entertainment & Recreation,USA,USD,freelancer,59.14,2022-05-15
Walgreens Hospital,Healthcare & Medical,USA,USD,freelancer,364.61,2022-05-16
Medicare Store - Morning,Government & Legal,USA,USD,freelancer,225.2,2022-05-16
Dollar General,Shopping & Retail,USA,USD,freelancer,264.63,2022-05-17
Dunkin' Donuts Store,Food & Dining,USA,USD,freelancer,43.34,2022-05-18
McDonald's #2580 - USA TXN320648,Food & Dining,USA,USD,freelancer,8.2,2022-05-18
Synagogue,Charity & Donations,USA,USD,freelancer,81.99,2022-05-19
Yoga Studio #7487 Strip Mall,Entertainment & Recreation,USA,USD,freelancer,101.86,2022-05-19
United - USA Store Online - Weekday,Transportation,USA,USD,freelancer,99.85,2022-05-19
Gym #9455 - Morning,Entertainment & Recreation,USA,USD,freelancer,124.11,2022-05-20
BP Business District,Transportation,USA,USD,freelancer,33.04,2022-05-20
Adobe Creative Cloud,Shopping & Retail,USA,USD,freelancer,26.57,2022-05-20
Dropbox,Utilities & Services,USA,USD,freelancer,10.73,2022-05-20
Moe's Southwest Grill,Food & Dining,USA,USD,freelancer,40.54,2022-05-21
Pizza Hut,Food & Dining,USA,USD,freelancer,21.69,2022-05-21
Starlink,Utilities & Services,USA,USD,freelancer,214.65,2022-05-21
Comcast,Utilities & Services,USA,USD,freelancer,207.43,2022-05-21
Gold's Gym,Entertainment & Recreation,USA,USD,freelancer,141.39,2022-05-22
BART - Weekday,Transportation,USA,USD,freelancer,3.87,2022-05-23
Religious Organization Residential,Charity & Donations,USA,USD,freelancer,184.2,2022-05-23
Public WiFi - USA Store Branch TXN115643,Utilities & Services,USA,USD,freelancer,282.27,2022-05-24
Humane Society #9203 - USA,Charity & Donations,USA,USD,freelancer,140.37,2022-05-24
Loan,Financial Services,USA,USD,freelancer,617.7,2022-05-24
Wells Fargo,Financial Services,USA,USD,freelancer,377.52,2022-05-24
Home Depot TXN271559,Shopping & Retail,USA,USD,freelancer,168.57,2022-05-25
24 Hour Fitness - USA,Entertainment & Recreation,USA,USD,freelancer,69.73,2022-05-25
Mass General #2241,Healthcare & Medical,USA,USD,freelancer,124.37,2022-05-27
GameStop,Shopping & Retail,USA,USD,freelancer,103.02,2022-05-27
PNC Bank #5753,Financial Services,USA,USD,freelancer,889.98,2022-05-28
Paramedic,Government & Legal,USA,USD,freelancer,292.74,2022-05-28
Sierra Club Business District,Charity & Donations,USA,USD,freelancer,98.3,2022-05-28
City Hall,Government & Legal,USA,USD,freelancer,108.54,2022-06-01
WMATA #3720,Transportation,USA,USD,freelancer,45.76,2022-06-02
Pediatrician TXN920291,Healthcare & Medical,USA,USD,freelancer,301.09,2022-06-02
Adobe Creative Cloud,Shopping & Retail,USA,USD,freelancer,44.75,2022-06-02
Income,Income,USA,USD,freelancer,4046.97,2022-06-03
Verizon,Utilities & Services,USA,USD,freelancer,210.73,2022-06-03
Theater TXN387276,Entertainment & Recreation,USA,USD,freelancer,125.55,2022-06-04
Greyhound #1551 TXN797099,Transportation,USA,USD,freelancer,84.7,2022-06-05
Goodwill #3276 Center TXN536656,Charity & Donations,USA,USD,freelancer,176.47,2022-06-06
Johns Hopkins #3279 Store Online Center - Rush Hour,Healthcare & Medical,USA,USD,freelancer,170.25,2022-06-07
Bus TXN410693,Transportation,USA,USD,freelancer,92.88,2022-06-08
Planet Fitness - Morning,Entertainment & Recreation,USA,USD,freelancer,121.6,2022-06-08
Apple Store Branch,Shopping & Retail,USA,USD,freelancer,152.04,2022-06-08
United Way,Charity & Donations,USA,USD,freelancer,183.02,2022-06-08
Spotify,Entertainment & Recreation,USA,USD,freelancer,8.03,2022-06-08
KFC #9528,Food & Dining,USA,USD,freelancer,10.02,2022-06-09
Getaround,Transportation,USA,USD,freelancer,9.91,2022-06-09
Goodwill,Charity & Donations,USA,USD,freelancer,154.03,2022-06-09
Financial Advisor Station,Financial Services,USA,USD,freelancer,261.34,2022-06-09
Oxfam Downtown,Charity & Donations,USA,USD,freelancer,6.13,2022-06-10
Dropbox,Utilities & Services,USA,USD,freelancer,11.46,2022-06-11
License,Government & Legal,USA,USD,freelancer,344.09,2022-06-13
Tennis Court #5401 - USA (Digital Wallet),Entertainment & Recreation,USA,USD,freelancer,126.38,2022-06-13
HughesNet #7054 - USA,Utilities & Services,USA,USD,freelancer,234.59,2022-06-13
NYU Langone,Healthcare & Medical,USA,USD,freelancer,411.91,2022-06-13
MTA - USA - Dinner Time,Transportation,USA,USD,freelancer,51.35,2022-06-14
TD Bank - Night,Financial Services,USA,USD,freelancer,189.04,2022-06-14
HSBC #2483 Online Center,Financial Services,USA,USD,freelancer,322.93,2022-06-14
Anytime Fitness #3371,Entertainment & Recreation,USA,USD,freelancer,110.67,2022-06-15
Frontier - USA Store,Utilities & Services,USA,USD,freelancer,146.39,2022-06-15
Paintball #2164 Online Center - Afternoon,Entertainment & Recreation,USA,USD,freelancer,117.26,2022-06-15
DMV,Government & Legal,USA,USD,freelancer,366.44,2022-06-15
Uniqlo #2104 TXN422456,Shopping & Retail,USA,USD,freelancer,206.87,2022-06-16
